"seller_id","seller_city","seller_state","seller_revenue"
"4869f7a5dfa277a7dca6462dcf3b52b2","guariba","SP","226987.93"
"53243585a1d6dc2643021fd1853d8905","lauro de freitas","BA","217940.44"
"4a3ca9315b744ce9f8e9374361493884","ibitinga","SP","196882.12"
"fa1c13f2614d7b5c4749cbc52fecda94","sumare","SP","190917.14"
"7c67e1448b00f6e969d365cea6b010ab","itaquaquecetuba","SP","186570.05"
"7e93a43ef30c4f03f38b393420bc753a","barueri","SP","165981.49"
"da8622b14eb17ae2831f4ac5b9dab84a","piracicaba","SP","159816.87"
"7a67c85e85bb2ce8582c35f2203ad736","sao paulo","SP","139658.69"
"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP","138208.56"
"955fee9216a65b617aa5c0531780ce60","sao paulo","SP","131836.71"
"46dc3b2cc0980fb8ec44634e21d2718e","rio de janeiro","RJ","122811.38"
"6560211a19b47992c3666cc44a7e94c0","sao paulo","SP","120702.83"
"620c87c171fb2a6dd6e8bb4dec959fc6","petropolis","RJ","112461.50"
"7d13fca15225358621be4086e1eb0964","ribeirao preto","SP","112436.18"
"5dceca129747e92ff8ef7a997dc4f8ca","santa barbara d´oeste","SP","111126.73"
"1f50f920176fa81dab994f9023523100","sao jose do rio preto","SP","106655.71"
"cc419e0650a3c5ba77189a1882b7556a","santo andre","SP","101090.96"
"a1043bafd471dff536d0c462352beb48","ilicinea","MG","99309.23"
"3d871de0142ce09b7081e2b9d1733cb1","campo limpo paulista","SP","93407.40"
"edb1ef5e36e0c8cd84eb3c9b003e486d","teresopolis","RJ","79144.90"
"ccc4bbb5f32a6ab2b7066a4130f114e3","curitiba","PR","72926.72"
"f7ba60f8c3f99e7ee4042fdef03b70c4","sao bernardo do campo","SP","68070.00"
"fe2032dab1a61af8794248c8196565c9","campinas","SP","65689.71"
"8581055ce74af1daba164fdbd55a40de","guarulhos","SP","64011.22"
"cca3071e3e9bb7d12640c9fbe2301306","ibitinga","SP","63035.16"
"04308b1ee57b6625f47df1d56f00eedf","bombinhas","SC","58991.80"
"522620dcb18a6b31cd7bdf73665113a9","cascavel","PR","56690.49"
"de722cd6dad950a92b7d4f82673f8833","recife","PE","55126.30"
"37be5a7c751166fbc5f8ccba4119e043","sao paulo","SP","54735.55"
"17e34d8224d27a541263c4c64b11a56b","riberao preto","SP","54440.28"
"7ddcbb64b5bc1ef36ca8c151f6ec77df","sao paulo","SP","54435.66"
"25c5c91f63607446a97b143d2d535d31","itauna","MG","54208.78"
"218d46b86c1881d022bce9c68a7d4b15","ribeirao preto","SP","53710.30"
"ceaec5548eefc6e23e6607c5435102e7","sao paulo","SP","51478.18"
"f5a590cf36251cf1162ea35bef76fe84","sao bernardo do campo","SP","51232.78"
"e882b2a25a10b9c057cc49695f222c19","teresopolis","RJ","51057.54"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f","nova friburgo","RJ","50628.90"
"f8db351d8c4c4c22c6835c19a46f01b0","salto","SP","50082.60"
"b2ba3715d723d245138f291a6fe42594","sao paulo","SP","49302.18"
"17f51e7198701186712e53a39c564617","sao paulo","SP","48019.00"
"8160255418d5aaa7dbdc9f4c64ebda44","ibitinga","SP","46368.39"
"966cb4760537b1404caedd472cc610a5","diadema","SP","45928.26"
"77530e9772f57a62c906e1c21538ab82","curitiba","PR","45676.60"
"4e922959ae960d389249c378d1c939f5","jacarei","SP","45338.42"
"850f4f8af5ea87287ac68de36e29107f","sao paulo","SP","45285.37"
"c826c40d7b19f62a09e2d7c5e7295ee2","guarulhos","SP","44653.04"
"b33e7c55446eabf8fe1a42d037ac7d6d","pradopolis","SP","44215.17"
"ba90964cff9b9e0e6f32b23b82465f7b","guarulhos","SP","44212.50"
"eeb6de78f79159600292e314a77cbd18","lages","SC","43510.84"
"c3cfdc648177fdbbbb35635a37472c53","curitiba","PR","43048.18"
"4d6d651bd7684af3fffabd5f08d12e5a","jau","SP","42999.00"
"b839e41795b7f3ad94cc2014a52f6796","sao caetano do sul","SP","42829.00"
"e9779976487b77c6d4ac45f75ec7afe9","praia grande","SP","42229.69"
"17a053fcb14bd219540cbde0df490be0","mogi guacu","SP","40353.24"
"d91fb3b7d041e83b64a00a3edfb37e4f","praia grande","SP","39926.39"
"834f3294fba9f932f56edc879193f925","araraquara","SP","39907.50"
"391fc6631aebcf3004804e51b40bcf1e","ibitinga","SP","39475.30"
"712e6ed8aa4aa1fa65dab41fed5737e4","videira","SC","39385.00"
"634964b17796e64304cadf1ad3050fb7","rio de janeiro","RJ","39114.10"
"2eb70248d66e0e3ef83659f71b244378","campinas","SP","38990.72"
"7142540dd4c91e2237acb7e911c4eba2","penapolis","SP","37181.94"
"7178f9f4dd81dcef02f62acdf8151e01","videira","SC","36795.40"
"ea8482cd71df3c1969d7b9473ff13abc","sao paulo","SP","36696.76"
"59417c56835dd8e2e72f91f809cd4092","limeira","SP","36459.00"
"c70c1b0d8ca86052f45a432a38b73958","hortolandia","SP","36289.15"
"06a2c3af7b3aee5d69171b0e14f0ee87","sao luis","MA","36097.98"
"c3867b4666c7d76867627c2f7fb22e21","guara","SP","34666.90"
"7299e27ed73d2ad986de7f7c77d919fa","araguari","MG","34107.44"
"e9bc59e7b60fc3063eb2290deda4cced","maringa","PR","33543.69"
"1835b56ce799e6a4dc4eddc053f04066","ibitinga","SP","33005.32"
"5c243662ce92d84573bfaff24c3e3700","sao paulo","SP","32862.02"
"dbc22125167c298ef99da25668e1011f","borda da mata","MG","32829.12"
"9c0e69c7bf2619675bbadf47b43f655a","sao jose dos campos","SP","32720.40"
"2528513dd95219a6013d4d05176e391a","osasco","SP","32660.20"
"76d5af76d0271110f9af36c92573f765","sao paulo","SP","31944.60"
"70eea00b476a314817cefde4aad4f89a","itatiba","SP","31424.75"
"0241d4d5d36f10f80c644447315af0bd","curitiba","PR","31397.70"
"88460e8ebdecbfecb5f9601833981930","maringa","PR","31320.40"
"7681ef142fd2c19048da7430856b5588","guarulhos","SP","31211.81"
"87142160b41353c4e5fca2360caf6f92","porto alegre","RS","31095.98"
"855668e0971d4dfd7bef1b6a4133b41b","itatiba","SP","30849.22"
"e59aa562b9f8076dd550fcddf0e73491","curitiba","PR","30716.30"
"70a12e78e608ac31179aea7f8422044b","jacarei","SP","29963.53"
"53e4c6e0f4312d4d2107a8c9cddf45cd","pedreira","SP","29587.77"
"d23019c84ffae2d5ef2270367b8605fc","londrina","PR","29205.10"
"1554a68530182680ad5c8b042c3ab563","monte siao","MG","28979.64"
"900ba814c251a692506d7834c1218441","salto","SP","28833.03"
"0b90b6df587eb83608a64ea8b390cf07","maringa","PR","28492.76"
"59b22a78efb79a4797979612b885db36","uberlandia","MG","27184.50"
"d1c281d3ae149232351cd8c8cc885f0d","ibitinga","SP","26833.61"
"b32be1695eb7ec5f10f72d9610a12527","caxias do sul","RS","26575.00"
"12b9676b00f60f3b700e83af21824c0e","montenegro","RS","26376.00"
"a3a38f4affed601eb87a97788c949667","joinville","SC","26294.62"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d","franca","SP","26169.53"
"de23c3b98a88888289c6f5cc1209054a","sao paulo","SP","25933.67"
"9f505651f4a6abe901a56cdc21508025","sao paulo","SP","25912.84"
"16090f2ca825584b5a147ab24aa30c86","atibaia","SP","25579.16"
"b94cc9f10ddc85e4ba73a6f7974e7101","macae","RJ","25346.10"
"a416b6a846a11724393025641d4edd5e","sao paulo","SP","24930.24"
"c003204e1ab016dfa150abc119207b24","cajamar","SP","24904.29"
"1c68394e931a64f90ea236c5ea590300","sarandi","PR","24832.75"
"f62d7bb4a613ec758a03342d46b580b2","vicosa","MG","24665.00"
"1900267e848ceeba8fa32d80c1a5f5a8","ibitinga","SP","24639.57"
"001cca7ae9ae17fb1caed9dfb1094831","cariacica","ES","24487.03"
"b37c4c02bda3161a7546a4e6d222d5b2","sao paulo","SP","24075.00"
"dc4a0fc896dc34b0d5bfec8438291c80","ibitinga","SP","23655.98"
"2b3e4a2a3ea8e01938cabda2a3e5cc79","sao paulo","SP","23629.15"
"40db9e9aa57f7bb151bcda6b0f9bdbb7","recife","PE","23168.00"
"612170e34b97004b3ba37eae81836b4c","novo hamburgo","RS","23065.02"
"7b0df942f46435babab05d49b744b2c4","braganca paulista","SP","22600.63"
"1a3df491d1c4f1589fc2b934ada68bf2","joinville","SC","22472.40"
"710e3548e02bc1d2831dfc4f1b5b14d4","rolandia","PR","22369.25"
"744dac408745240a2c2528fb1b6028f3","colombo","PR","22322.60"
"7ad32824caee82087b3e2e5f33b1bf32","ibitinga","SP","22018.10"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b","sao paulo","SP","21940.80"
"f45122a9ab94eb4f3f8953578bc0c560","piracicaba","SP","21764.68"
"897060da8b9a21f655304d50fd935913","ribeirao preto","SP","21740.51"
"06e5eefc71ec47ae763c5c6f8db7064f","porto alegre","RS","21648.67"
"b1b3948701c5c72445495bd161b83a4c","sao paulo","SP","21519.50"
"8444e55c1f13cd5c179851e5ca5ebd00","congonhal","MG","21480.96"
"05ff92fedb5be47920fea08e501238b9","santo angelo","RS","21235.98"
"8f2ce03f928b567e3d56181ae20ae952","pirituba","SP","21213.20"
"59fb871bf6f4522a87ba567b42dafecf","sao paulo","SP","21178.60"
"d2374cbcbb3ca4ab1086534108cc3ab7","ibitinga","SP","20926.02"
"00ee68308b45bc5e2660cd833c3f81cc","sao paulo","SP","20260.00"
"48162d548f5b1b11b9d29d1e01f75a61","piracicaba","SP","20109.39"
"729f06993dac8e860d4f02d7088ca48a","limeira","SP","19885.18"
"004c9cd9d87a3c30c522c48c4fc07416","ibitinga","SP","19569.73"
"bfd27a966d91cfaafdb25d076585f0da","serra negra","SP","19225.00"
"dc317f341ab0e22f39acbd9dbf9b4a1f","cachoeirinha","RS","18988.40"
"96493fab2fbb13a14d0c0e8772eef5c3","sao paulo","SP","18969.00"
"f457c46070d02cadd8a68551231220dd","maringa","PR","18798.30"
"0dd184061fb0eaa7ca37932c68ab91c5","guarulhos","SP","18446.92"
"44073f8b7e41514de3b7815dd0237f4f","brasilia","DF","18380.64"
"d650b663c3b5f6fb392b6326366efa9a","cotia","SP","18335.90"
"cd68562d3f44870c08922d380acae552","ribeirao preto","SP","18119.70"
"527801b552d0077ffd170872eb49683b","garca","SP","17942.80"
"821fb029fc6e495ca4f08a35d51e53a5","sao paulo","SP","17851.62"
"a888faf2d1baececa6baf9c3d603ee1f","umuarama","PR","17564.80"
"9de4643a8dbde634fe55621059d92273","joinville","SC","17560.34"
"c72de06d72748d1a0dfb2125be43ba63","guanambi","BA","17522.00"
"165fc07beebdcb6190fba8a06db2a449","maringa","PR","17481.40"
"94144541854e298c2d976cb893b81343","viamao","RS","17286.28"
"8b321bb669392f5163d04c59e235e066","sao paulo","SP","17262.94"
"1e8b33f18b4f7598d87f5cbee2282cc2","sao paulo","SP","17233.56"
